,model_name,corpus,seed,suite,correct,tag,circuit,correct_delta,has_modifier,test_ppl
146,ordered-neurons,bllip-lg,111,reflexive_orc_masc,0.0,reflexive,Licensing,-0.08054226475279105,,56.38
147,ordered-neurons,bllip-lg,111,reflexive_prep_fem,0.0,reflexive,Licensing,-0.022328548644338118,,56.38
148,ordered-neurons,bllip-lg,111,reflexive_prep_masc,0.0,reflexive,Licensing,-0.2795055821371611,,56.38
149,ordered-neurons,bllip-lg,111,reflexive_src_fem,0.0,reflexive,Licensing,-0.017543859649122806,,56.38
150,ordered-neurons,bllip-lg,111,reflexive_src_masc,0.0,reflexive,Licensing,-0.2910685805422647,,56.38
151,ordered-neurons,bllip-lg,111,subordination,1.0,subordination,Gross Syntactic State,0.20948616600790515,,56.38
152,ordered-neurons,bllip-lg,111,subordination_orc-orc,0.9130434782608695,subordination,Gross Syntactic State,0.15810276679841884,,56.38
153,ordered-neurons,bllip-lg,111,subordination_pp-pp,1.0,subordination,Gross Syntactic State,0.22068511198945984,,56.38
154,ordered-neurons,bllip-lg,111,subordination_src-src,1.0,subordination,Gross Syntactic State,0.2971014492753624,,56.38
155,ordered-neurons,bllip-md,111,center_embed,0.6785714285714286,center,Center Embedding,-0.052759740259740284,False,55.96
156,ordered-neurons,bllip-md,111,center_embed_mod,0.42857142857142855,center,Center Embedding,-0.15286796536796537,True,55.96
157,ordered-neurons,bllip-md,111,cleft,1.0,cleft,Long-Distance Dependencies,0.21856060606060612,False,55.96
158,ordered-neurons,bllip-md,111,cleft_modifier,0.425,cleft,Long-Distance Dependencies,0.0026515151515150714,True,55.96
159,ordered-neurons,bllip-md,111,fgd_hierarchy,0.5416666666666666,fgd,Long-Distance Dependencies,0.0899621212121211,,55.96
160,ordered-neurons,bllip-md,111,fgd_object,0.875,fgd,Long-Distance Dependencies,0.034406565656565635,,55.96
161,ordered-neurons,bllip-md,111,fgd_pp,0.5,fgd,Long-Distance Dependencies,0.08143939393939392,,55.96
162,ordered-neurons,bllip-md,111,fgd_subject,1.0,fgd,Long-Distance Dependencies,0.038510101010100994,,55.96
163,ordered-neurons,bllip-md,111,mvrr,0.7142857142857143,mvrr,Garden-Path Effects,0.19453463203463206,False,55.96
164,ordered-neurons,bllip-md,111,mvrr_mod,0.6071428571428571,mvrr,Garden-Path Effects,0.09063852813852813,True,55.96
165,ordered-neurons,bllip-md,111,npi_orc_any,0.0,npi,Licensing,-0.08094098883572566,,55.96
166,ordered-neurons,bllip-md,111,npi_orc_ever,0.0,npi,Licensing,-0.29485645933014354,,55.96
167,ordered-neurons,bllip-md,111,npi_src_any,0.05263157894736842,npi,Licensing,-0.03129984051036683,,55.96
168,ordered-neurons,bllip-md,111,npi_src_ever,0.02631578947368421,npi,Licensing,-0.11842105263157895,,55.96
169,ordered-neurons,bllip-md,111,npz_ambig,0.5833333333333334,npz,Garden-Path Effects,-0.0744949494949495,False,55.96
170,ordered-neurons,bllip-md,111,npz_ambig_mod,0.4166666666666667,npz,Garden-Path Effects,-0.030618686868686795,True,55.96
171,ordered-neurons,bllip-md,111,npz_obj,0.9166666666666666,npz,Garden-Path Effects,0.0009469696969698349,False,55.96
172,ordered-neurons,bllip-md,111,npz_obj_mod,0.9166666666666666,npz,Garden-Path Effects,0.08143939393939403,True,55.96
173,ordered-neurons,bllip-md,111,number_orc,0.0,number,Agreement,-0.155103668261563,,55.96
174,ordered-neurons,bllip-md,111,number_prep,0.10526315789473684,number,Agreement,-0.22288676236044652,,55.96
175,ordered-neurons,bllip-md,111,number_src,0.10526315789473684,number,Agreement,-0.19138755980861244,,55.96
176,ordered-neurons,bllip-md,111,reflexive_orc_fem,0.0,reflexive,Licensing,-0.012759170653907496,,55.96
177,ordered-neurons,bllip-md,111,reflexive_orc_masc,0.0,reflexive,Licensing,-0.08054226475279105,,55.96
178,ordered-neurons,bllip-md,111,reflexive_prep_fem,0.0,reflexive,Licensing,-0.022328548644338118,,55.96
179,ordered-neurons,bllip-md,111,reflexive_prep_masc,0.2631578947368421,reflexive,Licensing,-0.016347687400319,,55.96
180,ordered-neurons,bllip-md,111,reflexive_src_fem,0.0,reflexive,Licensing,-0.017543859649122806,,55.96
181,ordered-neurons,bllip-md,111,reflexive_src_masc,0.2631578947368421,reflexive,Licensing,-0.027910685805422608,,55.96
182,ordered-neurons,bllip-md,111,subordination,1.0,subordination,Gross Syntactic State,0.20948616600790515,,55.96
183,ordered-neurons,bllip-md,111,subordination_orc-orc,1.0,subordination,Gross Syntactic State,0.24505928853754932,,55.96
184,ordered-neurons,bllip-md,111,subordination_pp-pp,1.0,subordination,Gross Syntactic State,0.22068511198945984,,55.96
185,ordered-neurons,bllip-md,111,subordination_src-src,1.0,subordination,Gross Syntactic State,0.2971014492753624,,55.96
186,ordered-neurons,bllip-md,120,center_embed,0.75,center,Center Embedding,0.018668831168831113,False,56.78
187,ordered-neurons,bllip-md,120,center_embed_mod,0.5357142857142857,center,Center Embedding,-0.045725108225108224,True,56.78
188,ordered-neurons,bllip-md,120,cleft,0.975,cleft,Long-Distance Dependencies,0.1935606060606061,False,56.78
189,ordered-neurons,bllip-md,120,cleft_modifier,0.175,cleft,Long-Distance Dependencies,-0.24734848484848493,True,56.78
190,ordered-neurons,bllip-md,120,fgd_hierarchy,0.5833333333333334,fgd,Long-Distance Dependencies,0.13162878787878785,,56.78
191,ordered-neurons,bllip-md,120,fgd_object,0.9583333333333334,fgd,Long-Distance Dependencies,0.117739898989899,,56.78
192,ordered-neurons,bllip-md,120,fgd_pp,0.5833333333333334,fgd,Long-Distance Dependencies,0.1647727272727273,,56.78
193,ordered-neurons,bllip-md,120,fgd_subject,1.0,fgd,Long-Distance Dependencies,0.038510101010100994,,56.78
194,ordered-neurons,bllip-md,120,mvrr,0.7142857142857143,mvrr,Garden-Path Effects,0.19453463203463206,False,56.78
195,ordered-neurons,bllip-md,120,mvrr_mod,0.6071428571428571,mvrr,Garden-Path Effects,0.09063852813852813,True,56.78
196,ordered-neurons,bllip-md,120,npi_orc_any,0.0,npi,Licensing,-0.08094098883572566,,56.78
197,ordered-neurons,bllip-md,120,npi_orc_ever,0.02631578947368421,npi,Licensing,-0.2685406698564593,,56.78
198,ordered-neurons,bllip-md,120,npi_src_any,0.05263157894736842,npi,Licensing,-0.03129984051036683,,56.78
199,ordered-neurons,bllip-md,120,npi_src_ever,0.0,npi,Licensing,-0.14473684210526316,,56.78
